KPI ID;KPI Alias;KPI Title;Unit;Description
ulq_1a;UL BER ratio;UL BER ratio;%;Use: Uplink bit error ratio. Includes both SDCCH and TCH.
dlq_1a;DL BER;DL BER;%;Use: Downlink bit error ratio. Includes both SDCCH and TCH.
tbf_37d;UL TBFs pr timeslot;Average UL TBF per timeslot;[#];Indicates how many UL TBFs there are on average per timeslot
tbf_38d;DL TBFs pr timeslot;Average DL TBF per timeslot;[#];Indicates how many DL TBFs there are on average per timeslot
trf_233c;UL GPRS RLC throughput;Average effective ACK GPRS UL throughput per used TSL;[kbps/TSL];Indicates the impact of radio link quality on net data rate per used timeslot considering retransmissions and coding scheme selection. The lower the value the poorer the radio link quality causing retransmissions and use of lower coding schemes.
trf_234;UL EGPRS RLC throughput;Average effective ACK EGPRS UL throughput per used TSL;[kbps/TSL];Indicates the impact of radio link quality on net data rate per used timeslot considering retransmissions and coding scheme selection. The lower the value the poorer the radio link quality causing retransmissions and use of lower coding schemes.
trf_235b;DL GPRS RLC throughput;Average effective ACK GPRS DL throughput per used TSL;[kbps/TSL];Indicates the impact of radio link quality on net data rate per used timeslot considering retransmissions and coding scheme selection. The lower the value the poorer the radio link quality causing retransmissions and use of lower coding schemes.
trf_236;DL EGPRS RLC throughput;Average effective ACK EGPRS DL throughput per used TSL;[kbps/TSL];Indicates the impact of radio link quality on net data rate per used timeslot considering retransmissions and coding scheme selection. The lower the value the poorer the radio link quality causing retransmissions and use of lower coding schemes.
dcr_31b;TCH drop call ratio, before re-est;TCH drop call ratio, before re-establishment;%;On the area level. This KPI indicates how much calls are dropped after TCH seizure.
blck_5a;SDCCH real blocking;SDCCH real blocking;%;Gives the probability to access SDCCH considering the effect of FCS. Applicable for area and BTS level.
ava_1g;TCH availability ratio;TCH TSL availability ratio;%;Traffic channel timeslot availability as the percentage of configured resources. Includes both circuit switched and packet switched TSLs .
ava_68;Data service availability ratio;Data service availability ratio;%;Data Service Availability gives estimated percentage of on-air GPRS-capable BTS which are able to provide GPRS service (not afflicted by Sleeping GPRS outages).
dis_1a;Average MS-BS distance;Average MS-BS distance;[m];Average MS-BS distance
trf_215a;DL EGPRS RLC payload;EGPRS DL payload data;[kB];Indicates all EGPRS payload data on DL.
trf_214a;UL EGPRS RLC payload;EGPRS UL payload data;[kB];Indicates all EGPRS payload data on UL.
trf_213c;DL GPRS RLC payload;GPRS DL Payload Data;[kB];Indicates all GPRS Payload data on DL
trf_212c;UL GPRS RLC payload;GPRS UL Payload Data;[kB];Indicates all GPRS Payload data on UL
SDCCH_ABIS_FAIL;SDCCH_ABIS_FAIL (c001033);SDCCH_ABIS_FAIL (c001033);[#];Number of SDCCH transactions that are ended because of a failure in the Abis interface.
trf_119;TCH traffic time, all calls;TCH traffic time, all calls;[Ehr];TCH traffic time, all calls
LTE_Sector;LTE_RTWP_SECTOR;LTE_RTWP_SECTOR;dBm;LTE Sector
UMTS_Sector;UMTS_PRACH_Sector;UMTS_PRACH_Sector;[#];UMTS Sector
